Board: ((00000000)(00000000)(00000000)(000WB000)(000BW000)(00000000)(00000000)(00000000)) Player Move: null
Board: ((00000000)(00000000)(00000000)(00BBB000)(000BW000)(00000000)(00000000)(00000000)) Player Move: [2, 3]
Board: ((00000000)(00000000)(00W00000)(00BWB000)(000BW000)(00000000)(00000000)(00000000)) Player Move: [2, 2]
Board: ((00000000)(00B00000)(00B00000)(00BWB000)(000BW000)(00000000)(00000000)(00000000)) Player Move: [2, 1]
Board: ((00000000)(0WB00000)(00W00000)(00BWB000)(000BW000)(00000000)(00000000)(00000000)) Player Move: [1, 1]
Board: ((00000000)(BBB00000)(00W00000)(00BWB000)(000BW000)(00000000)(00000000)(00000000)) Player Move: [0, 1]
Board: ((00000000)(BBB00000)(00W00000)(00WWB000)(00WWW000)(00000000)(00000000)(00000000)) Player Move: [2, 4]
Board: ((00000000)(BBB00000)(00B00000)(00BWB000)(00BBW000)(00B00000)(00000000)(00000000)) Player Move: [2, 5]
Board: ((W0000000)(BWB00000)(00W00000)(00BWB000)(00BBW000)(00B00000)(00000000)(00000000)) Player Move: [0, 0]
Board: ((W0000000)(BWB00000)(00WB0000)(00BBB000)(00BBW000)(00B00000)(00000000)(00000000)) Player Move: [3, 2]
Board: ((W0000000)(BWB00000)(00WB0000)(00WBB000)(00WBW000)(00W00000)(00W00000)(00000000)) Player Move: [2, 6]
Board: ((W0000000)(BWB00000)(00BB0000)(00BBB000)(00BBW000)(00B00000)(00B00000)(00B00000)) Player Move: [2, 7]
Board: ((W0000000)(BWB00000)(00BB0000)(00BBB000)(0WWWW000)(00B00000)(00B00000)(00B00000)) Player Move: [1, 4]
Board: ((W0000000)(BWB00000)(00BB0000)(00BBB000)(0WWBB000)(00B0B000)(00B00000)(00B00000)) Player Move: [4, 5]
Board: ((W0W00000)(BWW00000)(00WB0000)(00WBB000)(0WWBB000)(00B0B000)(00B00000)(00B00000)) Player Move: [2, 0]
Board: ((W0W00000)(BWW00000)(00WB0000)(00WBB000)(BBBBB000)(00B0B000)(00B00000)(00B00000)) Player Move: [0, 4]
Board: ((W0W00000)(BWW00000)(00WB0000)(00WWWW00)(BBBBB000)(00B0B000)(00B00000)(00B00000)) Player Move: [5, 3]
Board: ((W0W00000)(BWW00000)(0BBB0000)(00BWWW00)(BBBBB000)(00B0B000)(00B00000)(00B00000)) Player Move: [1, 2]
Board: ((W0W00000)(BWW00000)(0WBB0000)(0WWWWW00)(BBBBB000)(00B0B000)(00B00000)(00B00000)) Player Move: [1, 3]
Board: ((WBW00000)(BBB00000)(0BBB0000)(0BWWWW00)(BBBBB000)(00B0B000)(00B00000)(00B00000)) Player Move: [1, 0]
Board: ((WBW00000)(WWB00000)(WBBB0000)(0BWWWW00)(BBBBB000)(00B0B000)(00B00000)(00B00000)) Player Move: [0, 2]
Board: ((WBW00000)(WWB00000)(WBBB0000)(0BBBBBB0)(BBBBB000)(00B0B000)(00B00000)(00B00000)) Player Move: [6, 3]
Board: ((WBW00000)(WWB00000)(WWBB0000)(0BWBBBB0)(BBBWB000)(00B0W000)(00B00W00)(00B00000)) Player Move: [5, 6]
Board: ((WBW00000)(WWB00000)(WBBB0000)(BBWBBBB0)(BBBWB000)(00B0W000)(00B00W00)(00B00000)) Player Move: [0, 3]
